Station Code,Name Of Monitoring Location,State Name,Temperature (oC) Unnamed: 3_level_1,Temperature (oC) Unnamed: 4_level_1,Dissolved Oxygen (mg/L) > 5.0 mg/ L,Dissolved Oxygen (mg/L) > 5.0 mg/ L.1,pH 6.5 - 8.5,pH 6.5 - 8.5.1,Conductivity (µmhos/cm) Unnamed: 9_level_1,Conductivity (µmhos/cm) Unnamed: 10_level_1,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L.1,Nitrate (mg/L) Unnamed: 13_level_1,Nitrate (mg/L) Unnamed: 14_level_1,"Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL","Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL.1",Total Coliform (MPN/100mL) Unnamed: 17_level_1,Total Coliform (MPN/100mL) Unnamed: 18_level_1,"Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL","Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL.1",Temperature AVG,Dissolved Oxygen AVG,pH 6.5 - 8.5 AVG,Conductivity AVG,Bio-Chemical Oxygen Demand AVG,Nitrate AVG,Fecal Coliform AVG,Total Coliform AVG,Fecal Streptococci AVG
1022.0,"RIVER  SUTLEJ  AT  BRIDGE HARIKE, AMRITSAR",PUNJAB,13.0,28.0,4.8,7.6,7.2,8.5,220.0,660.0,1.2,4.0,1.3,2.3,780.0,2100.0,2200.0,5800.0,217.50874751491057,914.7807157057653,20.5,6.199999999999999,7.85,440.0,2.6,1.7999999999999998,1440.0,4000.0,
10025.0,RIVER           SUTLEJ           AT JALANDHAR   U/S   (PEERU SHAH KA DARGAH),PUNJAB,10.0,37.0,0.0,0.0,6.9,7.9,792.0,1210.0,50.0,85.0,3.0,5.2,33000.0,40654.51528089888,5490.1059377262845,126361.17211328977,217.50874751491057,914.7807157057653,23.5,0.0,7.4,1001.0,67.5,4.1,,,
10026.0,"RIVER           SUTLEJ           AT JALANDHAR                      D/S
(MALSIAN BRIDGE)",PUNJAB,11.0,36.0,0.0,0.0,7.2,7.8,589.0,1260.0,50.0,87.0,4.6,7.2,22000.0,40654.51528089888,79000.0,126361.17211328977,217.50874751491057,914.7807157057653,23.5,0.0,7.5,924.5,68.5,5.9,,,
1021.0,"RIVER   SUTLEJ   AT   BOAT BDG. DHARMKOTNAKODAR
ROAD, JALANDHAR",PUNJAB,12.0,29.0,1.2,6.2,7.1,8.5,320.0,1023.0,1.4,70.0,1.3,3.0,4600.0,40654.51528089888,70000.0,126361.17211328977,217.50874751491057,914.7807157057653,20.5,3.7,7.8,671.5,35.7,2.15,,,
1381.0,"RIVER SUTLEJ AT D/S EAST BEIN, PUNJAB",PUNJAB,13.0,29.0,1.4,5.8,7.1,8.4,307.0,1045.0,2.5,37.0,1.5,3.3,31000.0,40654.51528089888,84000.0,126361.17211328977,217.50874751491057,914.7807157057653,21.0,3.5999999999999996,7.75,676.0,19.75,2.4,,,
1691.0,"RIVER     SUTLEJ     AT     U/S HUSSANIWALA      -      H/W
FEROZEPUR, PUNJAB",PUNJAB,11.0,30.0,5.6,8.8,7.2,8.3,232.0,353.0,1.1,1.3,1.2,1.9,250.0,1300.0,580.0,3300.0,217.50874751491057,914.7807157057653,20.5,7.2,7.75,292.5,1.2000000000000002,1.5499999999999998,775.0,1940.0,
1692.0,"RIVER     SUTLEJ     AT     D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",PUNJAB,12.0,29.0,5.6,8.5,7.2,8.4,234.0,360.0,1.2,1.4,1.2,2.0,180.0,1700.0,610.0,3400.0,217.50874751491057,914.7807157057653,20.5,7.05,7.800000000000001,297.0,1.2999999999999998,1.6,940.0,2005.0,
4059.0,"RIVER RAVI AT RANJIT SAGAR        DAM,        AT PANAGAR (BASOHIL)",JAMMU & KASHMIR,21.0,24.0,7.0,7.6,8.2,8.56,176.0,186.0,2.6562455892731127,6.435890218156228,0.8467035175879397,3.4825616131441373,3228.7836567164177,40654.51528089888,5490.1059377262845,126361.17211328977,217.50874751491057,914.7807157057653,22.5,7.3,8.379999999999999,181.0,,,,,
4060.0,RIVER  RAVI  AT  DAM- SITE AT THEIN,JAMMU & KASHMIR,21.0,24.0,7.0,7.8,8.0,8.2,162.0,174.0,2.6562455892731127,6.435890218156228,0.8467035175879397,3.4825616131441373,3228.7836567164177,40654.51528089888,5490.1059377262845,126361.17211328977,217.50874751491057,914.7807157057653,22.5,7.4,8.1,168.0,,,,,
4061.0,"RIVER         RAVI         AT LAKHANPUR, 1 KM D/S FROM         MADHOPUR
BRIDGE",JAMMU & KASHMIR,22.0,24.0,7.6,7.6,8.1,8.65,186.0,204.0,2.6562455892731127,6.435890218156228,0.8467035175879397,3.4825616131441373,3228.7836567164177,40654.51528089888,5490.1059377262845,126361.17211328977,217.50874751491057,914.7807157057653,23.0,7.6,8.375,195.0,,,,,
